admin,address
高雄市,高雄市三民區十全一路100號
高雄市,高雄市左營區大中一路386號
高雄市,高雄市鳥松區大埤路123號
高雄市,高雄市燕巢區義大路1號
高雄市,高雄市岡山區大義2路1號
高雄市,高雄市岡山區壽天路12號
高雄市,高雄市左營區軍校路553號
高雄市,高雄市楠梓區楠陽路136號
高雄市,高雄市鼓山區中華一路976號
高雄市,高雄市三民區大昌一路305號
高雄市,高雄市苓雅區成功一路162號
高雄市,高雄市前金區中華三路68號
高雄市,高雄市苓雅區凱旋二路134號
高雄市,高雄市苓雅區中正一路2號
高雄市,高雄市鳳山區光遠路171-2號
高雄市,高雄市鳳山區五甲二路389號
高雄市,高雄市苓雅區建國一路352號
高雄市,高雄市鳳山區經武路42號
高雄市,高雄市小港區山明路482號
高雄市,高雄市林園區東林西路360號
高雄市,高雄市旗津區旗港路33號
高雄市,高雄市旗山區大德里中學路60號
高雄市,高雄市鼓山區裕誠路1180號
高雄市,高雄市鼓山區中華一路336號1樓
高雄市,高雄市鼓山區九如四路957號
高雄市,高雄市鼓山區鼓山三路128-9號
高雄市,高雄市鼓山區明倫路458號
高雄市,高雄市鼓山區鼓山三路52號
高雄市,高雄市鼓山區美術東四路325號1樓
高雄市,高雄市鼓山區美術東二路177號
高雄市,高雄市左營區明誠二路362號
高雄市,高雄市左營區文強路232號1樓
高雄市,高雄市左營區果峰街2巷2號1樓、3號1樓
高雄市,高雄市左營區立大路78號1樓
高雄市,高雄市左營區華夏路609號
高雄市,高雄市左營區博愛二路350號
高雄市,高雄市左營區博愛四路16號
高雄市,高雄市左營區重上街168號
高雄市,高雄市左營區自由二路309號
高雄市,高雄市左營區左營大路253號１樓
高雄市,高雄市左營區明誠二路497號
高雄市,高雄市左營區自由三路172號1樓
高雄市,高雄市左營區自由三路382號
高雄市,高雄市左營區孟子路415號
高雄市,高雄市左營區博愛四路80號1樓
高雄市,高雄市左營區明誠二路541號
高雄市,高雄市楠梓區德賢路530巷29號
高雄市,高雄市楠梓區德民路949號
高雄市,高雄市楠梓區軍校路930號
高雄市,高雄市楠梓區藍昌路413號
高雄市,高雄市楠梓區經五路123號6樓
高雄市,高雄市楠梓區後昌路15號
高雄市,高雄市楠梓區鳳楠路248號
高雄市,高雄市楠梓區加昌路618號
高雄市,高雄市楠梓區德民路1003-3號
高雄市,高雄市楠梓區大學東路1號
高雄市,高雄市楠梓區加昌路606號
高雄市,高雄市三民區大昌二路544號
高雄市,高雄市三民區建工路531.533號
高雄市,高雄市三民區大順二路96號
高雄市,高雄市三民區鼎山街256號1樓
高雄市,高雄市三民區建工路531.533號
高雄市,高雄市三民區覺民路600號1樓
高雄市,高雄市三民區覺民路69號
高雄市,高雄市三民區鼎山街598號
高雄市,高雄市三民區大昌二路142號
高雄市,高雄市三民區陽明路81號
高雄市,高雄市三民區陽明路132號
高雄市,高雄市三民區裕誠路90號
高雄市,高雄市三民區大豐二路110-1號1樓
高雄市,高雄市三民區建元路30號
高雄市,高雄市三民區建工路332號
高雄市,高雄市三民區民族一路45號
高雄市,高雄市三民區自立一路267號
高雄市,高雄市三民區民族一路537號
高雄市,高雄市三民區力行路250號
高雄市,高雄市三民區熱河一街365號
高雄市,高雄市新興區中正三路63號
高雄市,高雄市鹽埕區莒光街137號
高雄市,高雄市前金區成功一路412號
高雄市,高雄市新興區中山一路67-2號
高雄市,高雄市新興區復興一路16號
高雄市,高雄市苓雅區憲政路240號
高雄市,高雄市苓雅區和平一路150號
高雄市,高雄市苓雅區建國一路15-1號
高雄市,高雄市苓雅區成功一路137號
高雄市,高雄市苓雅區建國一路115－４號
高雄市,高雄市苓雅區興中一路259號
高雄市,高雄市苓雅區大順三路172號
高雄市,高雄市苓雅區三多一路327號
高雄市,高雄市苓雅區福建街25號
高雄市,高雄市苓雅區輔仁路149號
高雄市,高雄市前鎮區一心一路482號
高雄市,高雄市前鎮區復興三路391號
高雄市,高雄市前鎮區草衙二路430號
高雄市,高雄市前鎮區草衙二路430號
高雄市,高雄市前鎮區一心一路404號
高雄市,高雄市前鎮區永豐路91號
高雄市,高雄市前鎮區永豐路214號
高雄市,高雄市前鎮區瑞北路88號
高雄市,高雄市前鎮區保泰路425號
高雄市,高雄市前鎮區民權二路430號
高雄市,高雄市旗津區旗津三路962巷2號
高雄市,高雄市小港區三苓里二苓路192號
高雄市,高雄市小港區平和路26號
高雄市,高雄市小港區漢民路716號
高雄市,高雄市小港區孔鳳路239號
高雄市,高雄市小港區二苓路156、158號
高雄市,高雄市小港區平治街1號
高雄市,高雄市鳳山區文衡路480號
高雄市,高雄市鳳山區文衡路301號
高雄市,高雄市鳳山區中正路37號
高雄市,高雄市鳳山區光復路一段139號
高雄市,高雄市鳳山區自由路136-1號
高雄市,高雄市鳳山區文鳳路20號
高雄市,高雄市鳳山區文龍東路738號1樓
高雄市,高雄市鳳山區瑞明街90巷8號
高雄市,高雄市鳳山區光遠路260號
高雄市,高雄市鳳山區博愛路328號
高雄市,高雄市鳳山區誠義里誠愛路1號
高雄市,高雄市鳳山區光復路2段223號
高雄市,高雄市鳳山區鳳村路157號
高雄市,高雄市鳳山區五甲三路205號
高雄市,高雄市鳳山區五甲二路395號、397號1樓
高雄市,高雄市鳳山區福祥街81號
高雄市,高雄市鳳山區五甲三路48號
高雄市,高雄市鳳山區新富路266號
高雄市,高雄市鳳山區海洋二路39號1樓
高雄市,高雄市大寮區鳳林四路192號
高雄市,高雄市大寮區中庄里鳳屏一路492號
高雄市,高雄市大寮區鳳林一路147號
高雄市,高雄市大寮區鳳屏一路464號
高雄市,高雄市大寮區林厝路53號
高雄市,高雄市大寮區中正2號
高雄市,高雄市大樹區大樹路北巷14-7號
高雄市,高雄市大樹區興田路154號
高雄市,高雄市大社區中山路72號
高雄市,高雄市大社區中山路317號
高雄市,高雄市大社區金龍路138號
高雄市,高雄市仁武區仁雄路15-1號
高雄市,高雄市仁武區仁雄路9號
高雄市,高雄市仁武區永仁街694號
高雄市,高雄市仁武區永仁街694號
高雄市,高雄市鳥松區中正路355-2號
高雄市,高雄市岡山區岡山路428號
高雄市,高雄市岡山區岡山路380-1號
高雄市,高雄市岡山區岡山路73號
高雄市,高雄市岡山區柳橋東路15-1號1樓
高雄市,高雄市岡山區平和路200號
高雄市,高雄市岡山區維新路51號
高雄市,高雄市岡山區維仁路26號
高雄市,高雄市岡山區公園西路三段86號
高雄市,高雄市岡山區岡山路260號
高雄市,高雄市岡山區仁壽路39號
高雄市,高雄市橋頭區成功路101號
高雄市,高雄市阿蓮區中正路383號
高雄市,高雄市阿蓮區民權路95號
高雄市,高雄市路竹區中和街180號
高雄市,高雄市路竹區中山路627號
高雄市,高雄市路竹區延平路57號
高雄市,高雄市梓官區進路124號
高雄市,高雄市旗山區中華路618號
高雄市,高雄市旗山區大德里大仁街18號
高雄市,高雄市旗山區延平一路412號
高雄市,高雄市旗山區延平一路677號1樓
高雄市,高雄市旗山區瑞吉里延平一路337號
高雄市,高雄市美濃區中華路60號
高雄市,高雄市美濃區成功路139號4-9樓
高雄市,高雄市內門區中正路168號
高雄市,高雄市內門區觀亭里中正路160巷50號
高雄市,高雄市新興區復興一路107-1號
高雄市,高雄市鹽埕區五福四路106號、108號1樓
高雄市,高雄市新興區林森一路154之1號
高雄市,高雄市新興區和平一路193號
高雄市,高雄市大寮區鳳林三路532號
高雄市,高雄市大寮區鳳林三路541號
高雄市,高雄市大寮區鳳屏一路574號
高雄市,高雄市大寮區鳳屏一路443號
高雄市,高雄市前金區中華三路227號
高雄市,高雄市大寮區中正路2號
高雄市,高雄市左營區文川路128號1樓
高雄市,高雄市左營區重愛路196號
高雄市,高雄市左營區裕誠路445號
高雄市,高雄市左營區華夏路703號
高雄市,左營區左營大路156號
高雄市,高雄市左營區文莊路53號
高雄市,高雄市三民區灣中街328號
高雄市,高雄市三民區九如一路171號
高雄市,高雄市三民區平等路163號
高雄市,高雄市三民區聯興路157號
高雄市,高雄市仁武區地政街23號
高雄市,高雄市大樹區龍目路158號
高雄市,高雄市林園區林園北路186號
高雄市,高雄市湖內區湖中路203號
高雄市,高雄市梓官區公館路45號
高雄市,高雄市路竹區國昌路86巷22號
高雄市,高雄市桃源區桃源里南進巷188之1號
高雄市,高雄市內門區觀亭里中埔頭20號
高雄市,高雄市茂林區茂林里八之四號
高雄市,高雄市六龜區民治路16號
高雄市,高雄市阿蓮區民生路94-1號
高雄市,高雄市杉林區上平里山仙路93巷2號
高雄市,高雄市旗山區中正路197號
高雄市,高雄市大寮區進學路129巷2之1號
高雄市,高雄市茄萣區濱海路二段1號
高雄市,高雄市燕巢區南燕里中興路二號
高雄市,高雄市田寮區南安里崗北路32號
高雄市,高雄市永安區永安里永安路26號
高雄市,高雄市彌陀區中華路一巷五弄一號
高雄市,高雄市美濃區合和里美中路246號
高雄市,高雄市甲仙區中山路52號
高雄市,高雄市那瑪夏區瑪雅里六鄰平和巷252號
