admin,address
台東縣,臺東縣臺東市長沙街303巷1號
台東縣,台東縣台東市杭州街2號
台東縣,臺東縣臺東市開封街350號
台東縣,臺東縣臺東市更生路1000號
台東縣,臺東縣臺東市五權街1號
台東縣,臺東縣臺東市光明路124號
台東縣,臺東縣臺東市中華路一段396號
台東縣,臺東縣臺東市中正路295號
台東縣,臺東縣臺東市中華路一段317號
台東縣,臺東縣臺東市中正路334號
台東縣,臺東縣臺東市四維路三段36號
台東縣,臺東縣臺東市鄭州街3號
台東縣,臺東縣臺東市更生路199號
台東縣,臺東縣臺東市中山路224號
台東縣,臺東縣臺東市中興路四段495號
台東縣,臺東縣臺東市大同路51號
台東縣,臺東縣池上鄉福原村中山路104號
台東縣,臺東縣關山鎮中福里中華路78號
台東縣,臺東縣關山鎮和平路125-5號
台東縣,臺東縣關山鎮中華路58號
台東縣,臺東縣海端鄉海端村山界29號
台東縣,臺東縣鹿野鄉鹿野村中華路一段418號
台東縣,臺東縣延平鄉桃源村昇平路11號
台東縣,臺東縣卑南鄉太平村和平路132號
台東縣,臺東縣卑南鄉明峰村文泰路8號
台東縣,臺東縣太麻里鄉泰和村民權路66號
台東縣,臺東縣長濱鄉長濱村中興路46號
台東縣,臺東縣東河鄉東河村南東河路300號
台東縣,臺東縣成功鎮忠仁里中山東路64號
台東縣,臺東縣成功鎮中山東路32號
台東縣,臺東縣金峰鄉賓茂村1鄰14號
台東縣,臺東縣大武鄉大武村復興路2-2號
台東縣,臺東縣達仁鄉安朔村復興路122號
台東縣,臺東縣蘭嶼鄉紅頭村 36 之 1 號
台東縣,臺東縣綠島鄉中寮村中寮1-1號
